1 kpeng 10.75 (2018/8)
2 yahuang  8.84 (2018/8)
3 lmai  8.56 (2018/9)
4 dfinnis  7.98 (2018/8)
5 kfonda  7.09 (2018/8)
6 davzheng  6.52 (2018/8)
7 junwkim  6.51 (2018/8)
8 rstohr  6.50 (2018/8)
9 bvilla  6.31 (2018/8)
10 lrudowic  6.25 (2018/8)
11 asansyzb  6.20 (2018/8)
12 tidadi  6.06 (2018/8)
13 mparsaca  5.82 (2018/8)
14 moedun  5.69 (2018/8)
15 mputra  5.59 (2018/8)
16 skunz  5.29 (2018/8)
17 anjansse  5.21 (2018/8)
18 mhally  5.18 (2018/8)
19 hayele  5.08 (2018/8)
20 ndiaz-ac  5.03 (2018/8)
21 thonelso  5.01 (2018/8)
22 pisophy  4.89 (2018/8)
23 amohamed  4.56 (2018/8)
24 rothomps  4.56 (2018/8)
25 vdauverg  4.55 (2018/8)
26 maseidua  4.51 (2018/8)
27 vlhomme  4.35 (2018/8)
28 nhuth  4.31 (2018/8)
29 gdjonret  4.21 (2018/8)
30 hsides  4.21 (2018/8)
31 jeliu  4.02 (2018/8)
32 lphan  4.01 (2018/8)
33 koli  3.95 (2018/8)
34 nrusso  3.86 (2018/8)
35 vdelgado  3.84 (2018/8)
36 ereyes  3.82 (2018/8)
37 pkliem  3.74 (2018/8)
38 vmuradia  3.70 (2018/8)
39 jpeters  3.69 (2018/8)
40 pavtigun  3.68 (2018/8)
41 haltall  3.60 (2018/8)
42 ieropaie  3.49 (2018/8)
43 kegeorge  3.47 (2018/8)
44 aclement  3.41 (2018/8)
45 changuye  3.36 (2018/8)
46 wjean-ba  3.31 (2018/8)
47 mohhassa  3.29 (2018/8)
48 ytsungyu  3.29 (2018/8)
49 rfrigo  3.27 (2018/8)
50 spoole  3.26 (2018/8)
51 thcollar  3.26 (2018/8)
52 awestfie  3.24 (2018/8)
53 smbaabu  3.21 (2018/8)
54 ninnguye  3.13 (2018/8)
55 yizhwang  3.09 (2018/8)
56 drhett  3.06 (2018/8)
57 bebaral  3.03 (2018/8)
58 vraia  3.01 (2018/8)
59 maskrypk  2.96 (2018/8)
60 bcastro  2.84 (2018/8)
61 hbhuiyan  2.84 (2018/8)
62 dromansk  2.77 (2018/8)
63 nozoemen  2.50 (2018/8)
64 aruiz-ba  2.48 (2018/8)
