1 asalihov  3.29 (2018/7)
2 brbixby  3.16 (2018/7)
3 riskhako  3.08 (2018/7)
4 huyin  2.86 (2018/7)
5 shoachen  2.65 (2018/7)
6 rzust  2.64 (2018/7)
7 jtong  2.62 (2018/7)
8 tkobb  2.60 (2018/7)
9 bashanka  2.57 (2018/7)
10 tcho  2.57 (2018/7)
11 wenzheng  2.57 (2018/7)
12 xwang  2.46 (2018/7)
13 aabdrakh  2.38 (2018/7)
14 dolim  2.34 (2018/7)
15 lyoung-j  2.33 (2018/7)
16 viwade  2.32 (2018/7)
17 nhennigh  2.29 (2018/7)
18 ale-goff  2.18 (2018/7)
19 youchang  2.11 (2018/7)
20 amedvede  2.06 (2018/7)
21 pgarg  2.04 (2018/7)
22 yjeong  2.04 (2018/7)
23 bhsu-  2.00 (2018/7)
24 kachen2  1.97 (2018/7)
25 vlahorba  1.94 (2018/7)
26 vlazuka  1.94 (2018/7)
27 rbordiya  1.87 (2018/7)
28 biswbara  1.86 (2018/7)
29 mashroff  1.86 (2018/7)
30 tegordon  1.83 (2018/7)
31 cemirafl  1.78 (2018/7)
32 lfox  1.78 (2018/7)
33 vsaponen  1.76 (2018/7)
34 nazkalid  1.75 (2018/7)
35 rkerwin  1.75 (2018/7)
36 chsu  1.74 (2018/7)
37 hebadi  1.71 (2018/7)
38 ryared  1.67 (2018/7)
39 akali  1.66 (2018/7)
40 akikalia  1.66 (2018/7)
41 awhite  1.66 (2018/7)
42 hryu  1.66 (2018/7)
43 vhunt  1.63 (2018/7)
44 chali  1.61 (2018/7)
45 kuachen  1.60 (2018/7)
46 vakumar  1.60 (2018/7)
47 mtaylor  1.56 (2018/7)
48 bchen  1.55 (2018/7)
49 callen  1.55 (2018/7)
50 cellis  1.55 (2018/7)
51 llu  1.55 (2018/7)
52 mspirit  1.55 (2018/7)
53 jcruz-y-  1.50 (2018/7)
54 jcornil  1.46 (2018/7)
55 kechen  1.46 (2018/7)
56 apires  1.45 (2018/7)
57 jebae  1.44 (2018/7)
58 acarlson  1.39 (2018/7)
59 ethmalte  1.39 (2018/7)
60 yuhuang  1.36 (2018/7)
61 zeli  1.36 (2018/7)
62 jlevine  1.32 (2018/7)
63 bschwiet  1.29 (2018/7)
64 hykim  1.28 (2018/7)
65 knaumov  1.28 (2018/7)
66 jtseng  1.25 (2018/7)
67 mthoelen  1.25 (2018/7)
68 srocha  1.25 (2018/7)
69 holi  1.24 (2018/7)
70 adrean  1.21 (2018/7)
71 sedel-mu  1.21 (2018/7)
72 evjohnst  1.19 (2018/7)
73 fprevela  1.16 (2018/7)
74 rcross  1.16 (2018/7)
75 perjavec  1.11 (2018/7)
76 dakim  1.08 (2018/7)
77 dfan  1.08 (2018/7)
78 svaddadh  1.08 (2018/7)
79 jkosloff  1.07 (2018/7)
80 hirpatel  1.06 (2018/7)
81 jerles  1.05 (2018/7)
82 tholzheu  1.05 (2018/7)
83 chmondev  1.03 (2018/7)
84 arherrer  0.92 (2018/7)
85 mhassan  0.92 (2018/7)
86 aworth  0.88 (2018/7)
87 jwasham  0.88 (2018/7)
88 lmalki-h  0.88 (2018/7)
89 pfrancin  0.88 (2018/7)
90 vsmolii  0.88 (2018/7)
91 lxiong  0.86 (2018/7)
92 ncollie  0.86 (2018/7)
93 qpeng  0.83 (2018/7)
94 abosman  0.77 (2018/7)
95 andmarti  0.74 (2018/7)
96 ggurumur  0.74 (2018/7)
97 jcope  0.74 (2018/7)
98 dgniadec  0.70 (2018/7)
99 gbagaev  0.70 (2018/7)
100 kbouazou  0.70 (2018/7)
101 ke-chen  0.70 (2018/7)
102 medun  0.70 (2018/7)
103 yding  0.70 (2018/7)
104 zhliu  0.69 (2018/7)
105 chkim  0.65 (2018/7)
106 fgenoves  0.65 (2018/7)
107 mvilar-g  0.65 (2018/7)
108 shatting  0.65 (2018/7)
109 zfu  0.65 (2018/7)
110 dgoyal  0.61 (2018/7)
111 jbyeon  0.61 (2018/7)
112 jezheng  0.61 (2018/7)
113 nmatsumo  0.61 (2018/7)
114 lcros  0.57 (2018/7)
115 acalona-  0.56 (2018/7)
116 jhatting  0.56 (2018/7)
117 ltzu-hsi  0.56 (2018/7)
118 rcombe  0.56 (2018/7)
119 ccheolun  0.53 (2018/7)
