1 apuel  8.98 (2017/10)
2 ashih  8.47 (2017/10)
3 maljean  7.87 (2017/10)
4 pjha  7.86 (2017/10)
5 husui  7.65 (2017/10)
6 lilam  7.32 (2017/10)
7 tadey  7.25 (2017/10)
8 mbrown  7.05 (2017/10)
9 nwhitlow  7.02 (2017/10)
10 nmolina  6.86 (2017/10)
11 pzhang  6.52 (2017/10)
12 aschnapp  6.34 (2017/10)
13 slynn-ev  6.14 (2017/10)
14 jhoxha  6.03 (2017/10)
15 yazhu  5.93 (2017/10)
16 avalsan  5.90 (2017/10)
17 bchan  5.88 (2017/10)
18 dcisnero  5.75 (2017/10)
19 ttran  5.61 (2017/10)
20 jadawson  5.60 (2017/10)
21 kvilnite  5.56 (2017/10)
22 vpupkin  5.22 (2017/10)
23 hramirez  5.20 (2017/10)
24 bceballo  5.18 (2017/10)
25 laustin  5.15 (2017/10)
26 motorres  5.14 (2017/10)
27 amwangal  5.02 (2017/10)
28 ralee  5.02 (2017/10)
29 naunin  4.95 (2017/10)
30 enennige  4.90 (2017/10)
31 ekhudiak  4.89 (2017/10)
32 tdalifar  4.82 (2017/10)
33 wzhan  4.68 (2017/10)
34 dysotoma  4.55 (2017/10)
35 ytuz  4.42 (2017/10)
36 rkwon  4.35 (2017/10)
37 aisa  4.25 (2017/10)
38 ccheney  4.23 (2017/10)
39 dsilva  4.18 (2017/10)
40 scamargo  4.15 (2017/10)
41 mtolstok  4.12 (2017/10)
42 ndoorn  4.11 (2017/10)
43 mchristo  4.06 (2017/10)
44 mkass  4.03 (2017/10)
45 jmurte  4.00 (2017/10)
46 jizheng  3.95 (2017/10)
47 jtan  3.66 (2017/10)
48 ktjhan  3.65 (2017/10)
49 jsoutelo  3.54 (2017/10)
50 pnarayan  3.52 (2017/10)
51 dphuntso  3.41 (2017/10)
52 fclaude  3.24 (2017/10)
53 lmartine  3.24 (2017/10)
54 slin  3.18 (2017/10)
55 eduprat  3.16 (2017/10)
56 tyang  3.16 (2017/10)
57 iamarill  3.12 (2017/10)
58 atemunov  3.10 (2017/10)
59 zfeng  3.05 (2017/10)
60 psanchez  3.03 (2017/10)
61 ststeinb  3.03 (2017/10)
62 yilu  3.01 (2017/10)
63 nmichaud  2.87 (2017/10)
64 pnunez  2.71 (2017/10)
65 lnakle  2.58 (2017/10)
66 wechen  2.58 (2017/10)
67 supark  2.54 (2017/10)
68 efriedma  2.53 (2017/10)
69 ievteev  2.52 (2017/10)
70 lbeserra  2.50 (2017/10)
71 dezzeddi  2.42 (2017/10)
72 jfleisch  2.35 (2017/10)
73 wzhou  2.32 (2017/10)
74 ldury  2.27 (2017/10)
75 jgaitan  2.25 (2017/10)
76 ethomas  2.23 (2017/10)
77 olfriedh  2.22 (2017/10)
78 lmevisse  2.19 (2017/10)
79 ckoon  2.18 (2017/10)
80 loigarci  2.08 (2017/10)
81 lcaldero  2.02 (2017/10)
82 pstringe  1.90 (2017/10)
83 ssong  1.87 (2017/10)
84 mvon-lut  1.86 (2017/10)
85 ispirido  1.80 (2017/10)
86 atsai  1.63 (2017/10)
87 wwu  1.58 (2017/10)
88 jolevy  1.39 (2017/10)
89 zhzhang  1.38 (2017/10)
90 vsergeev  1.35 (2017/10)
91 kbaker  1.23 (2017/10)
92 barellan  1.10 (2017/10)
93 coswold  1.10 (2017/10)
94 sjelic  1.03 (2017/10)
95 dperera  0.94 (2017/10)
96 lpang  0.88 (2017/10)
97 ayang  0.61 (2017/10)
98 gdelos-s  0.61 (2017/10)
99 schelbi  0.56 (2017/10)
100 mbyrne  0.47 (2017/10)
101 kpuschel  0.44 (2017/10)
102 vkanyuru  0.30 (2017/10)
103 jdeng  0.26 (2017/10)
104 monyon  0.26 (2017/10)
105 rangossi  0.26 (2017/10)
106 ssuh  0.26 (2017/10)
107 lwarneke  0.23 (2017/10)
108 tzheng  0.23 (2017/10)
109 agonthie  0.22 (2017/10)
110 jhamilto  0.21 (2017/10)
111 aasl-teh  0.00 (2017/10)
112 acolon  0.00 (2017/10)
113 anhnguye  0.00 (2017/10)
114 cperry  0.00 (2017/10)
115 dfoudeh  0.00 (2017/10)
116 fcrespo  0.00 (2017/10)
117 fquintan  0.00 (2017/10)
118 hhamerma  0.00 (2017/10)
119 hvinueza  0.00 (2017/10)
120 jbae  0.00 (2017/10)
121 jmartine  0.00 (2017/10)
122 jvelasqu  0.00 (2017/10)
123 lgoldste  0.00 (2017/10)
124 lphatsoa  0.00 (2017/10)
125 macree  0.00 (2017/10)
126 mtrotta  0.00 (2017/10)
127 ronicola  0.00 (2017/10)
128 tgaringe  0.00 (2017/10)
129 vynguyen  0.00 (2017/10)
