1 jaodum  9.35 (2018/10)
2 wiljean-  8.15 (2018/10)
3 zstucke  8.05 (2018/10)
4 rywang  8.00 (2018/10)
5 amendelo  7.91 (2018/10)
6 akharrou  7.77 (2018/10)
7 ssharafe  7.59 (2018/10)
8 cbagdon  7.28 (2018/10)
9 jechiang  7.12 (2018/10)
10 emamenko  7.06 (2018/10)
11 jgilfix  6.89 (2018/10)
12 cmckelvy  6.41 (2018/10)
13 abronzo  6.18 (2018/10)
14 alatif  6.17 (2018/10)
15 jorobins  6.13 (2018/10)
16 bpace  6.02 (2018/10)
17 jboggs  5.94 (2018/10)
18 jkaplin  5.91 (2018/10)
19 sxu  5.90 (2018/10)
20 aarafat  5.80 (2018/10)
21 kkozlov  5.54 (2018/10)
22 thsilva  5.50 (2018/10)
23 brjorgen  5.44 (2018/10)
24 bkjornra  5.36 (2018/10)
25 mqian  5.19 (2018/10)
26 mboulara  5.16 (2018/10)
27 gguarnay  5.12 (2018/10)
28 zsong  5.11 (2018/10)
29 atokarev  5.01 (2018/10)
30 syu  5.00 (2018/10)
31 fsjogren  4.94 (2018/10)
32 zhtut  4.94 (2018/10)
33 canderso  4.88 (2018/10)
34 phtruong  4.87 (2018/10)
35 ckifalo  4.76 (2018/10)
36 dhong  4.69 (2018/10)
37 omeiring  4.68 (2018/10)
38 bigissin  4.66 (2018/10)
39 osfally  4.59 (2018/10)
40 hhow-cho  4.51 (2018/10)
41 yinzhang  4.47 (2018/10)
42 ako  4.43 (2018/10)
43 msharma-  4.43 (2018/10)
44 jquince  4.41 (2018/10)
45 brfeltz  4.40 (2018/10)
46 rsmith  4.35 (2018/10)
47 aaubakir  4.34 (2018/10)
48 mirivera  4.33 (2018/10)
49 anhorban  4.32 (2018/10)
50 jaliu  4.32 (2018/10)
51 alfranco  4.27 (2018/10)
52 lspiess  4.27 (2018/10)
53 kyellayi  4.21 (2018/10)
54 bmyrzata  4.19 (2018/10)
55 mkryukov  4.10 (2018/10)
56 obuksha  4.10 (2018/10)
57 ytsai  4.10 (2018/10)
58 pasmadja  4.04 (2018/10)
59 gozsertt  3.95 (2018/10)
60 ltaboada  3.95 (2018/10)
61 alkozma  3.92 (2018/10)
62 kchen2  3.90 (2018/10)
63 rosgill  3.90 (2018/10)
64 kchong  3.89 (2018/10)
65 ezhukova  3.86 (2018/10)
66 fguzman  3.86 (2018/10)
67 rlima  3.81 (2018/10)
68 vrabaib  3.81 (2018/10)
69 sgusache  3.76 (2018/10)
70 chford  3.70 (2018/10)
71 eagulov  3.67 (2018/10)
72 hyulee  3.64 (2018/10)
73 choho  3.62 (2018/10)
74 jmora  3.61 (2018/10)
75 mhuerta  3.58 (2018/10)
76 jamwanji  3.56 (2018/10)
77 mdemiche  3.42 (2018/10)
78 patrisor  3.41 (2018/10)
79 aliwang  3.38 (2018/10)
80 mansharm  3.33 (2018/10)
81 iskrakhm  3.31 (2018/10)
82 freynoso  3.27 (2018/10)
83 idaeho  3.27 (2018/10)
84 elhampto  3.26 (2018/10)
85 mbutt  3.25 (2018/10)
86 cyluu  3.23 (2018/10)
87 abshanbh  3.19 (2018/10)
88 anekhaen  3.16 (2018/10)
89 nhan  3.03 (2018/10)
90 apasos-g  3.00 (2018/10)
91 atazhigu  2.97 (2018/10)
92 kskostyl  2.97 (2018/10)
93 bwootton  2.96 (2018/10)
94 grougeau  2.93 (2018/10)
95 chjeong  2.87 (2018/10)
96 trufford  2.79 (2018/10)
97 ibotnaru  2.77 (2018/10)
98 sauesugi  2.76 (2018/10)
99 kmira  2.70 (2018/10)
100 tkatolik  2.69 (2018/10)
101 eulee  2.67 (2018/10)
102 cbernabo  2.66 (2018/10)
103 brzamora  2.60 (2018/10)
104 elmiller  2.57 (2018/10)
105 vdokukin  2.57 (2018/10)
106 kmatushe  2.55 (2018/10)
107 abaptist  2.50 (2018/10)
108 eugbotna  2.46 (2018/10)
109 sakakova  2.45 (2018/10)
110 dsaripap  2.44 (2018/10)
111 ralvarez  2.44 (2018/10)
112 asakhi-h  2.42 (2018/10)
113 rayramos  2.36 (2018/10)
114 yson  2.32 (2018/10)
115 bisingh  2.29 (2018/10)
116 wmaguire  2.27 (2018/10)
117 skythoma  2.26 (2018/10)
118 nfilin  2.23 (2018/10)
119 aazhiken  2.22 (2018/10)
120 cygross  2.22 (2018/10)
121 pgobeil-  2.21 (2018/10)
122 dishenbe  2.16 (2018/10)
123 dkurbano  2.15 (2018/10)
124 lde-la-g  2.14 (2018/10)
125 mmcarthu  2.08 (2018/10)
126 samahatt  2.03 (2018/10)
127 nolakim  2.02 (2018/10)
128 ssettle  1.83 (2018/10)
129 gmoreno-  1.82 (2018/10)
130 vhernand  1.78 (2018/10)
131 nnazaruk  1.77 (2018/10)
132 tvandivi  1.75 (2018/10)
133 jipark  1.71 (2018/10)
134 atomasev  1.70 (2018/10)
135 aleitner  1.64 (2018/10)
136 ititkov  1.64 (2018/10)
137 gmaximov  1.63 (2018/10)
138 apavlovs  1.57 (2018/10)
139 chuchan  1.57 (2018/10)
140 vabiga  1.57 (2018/10)
141 hecampbe  1.53 (2018/10)
142 jomuldro  1.44 (2018/10)
143 dhadzic  1.41 (2018/10)
144 yan-chen  1.41 (2018/10)
145 abialko  1.36 (2018/10)
146 kelugo  1.30 (2018/10)
147 emdiaz  1.23 (2018/10)
148 wharring  1.21 (2018/10)
149 sohan  1.18 (2018/10)
150 joshguti  1.16 (2018/10)
151 tbaasan  1.16 (2018/10)
152 salcindo  1.04 (2018/10)
153 jparbs  1.03 (2018/10)
154 csalceda  1.01 (2018/10)
155 jihong  1.01 (2018/10)
156 vbulakh  1.00 (2018/10)
157 asafonov  0.99 (2018/10)
158 bimunoz  0.97 (2018/10)
159 cgenthe  0.97 (2018/10)
160 cpinto-t  0.97 (2018/10)
161 hmoledin  0.92 (2018/10)
162 dhatting  0.88 (2018/10)
163 fraalvar  0.87 (2018/10)
164 crengifo  0.86 (2018/10)
165 shameer  0.86 (2018/10)
166 mrengifo  0.83 (2018/10)
167 awoodod  0.79 (2018/10)
168 mbavuudo  0.75 (2018/10)
169 prassolo  0.71 (2018/10)
170 alradzie  0.70 (2018/10)
171 mhuber  0.65 (2018/10)
172 mbernik  0.63 (2018/10)
173 rallen  0.56 (2018/10)
174 kergeorg  0.51 (2018/10)
175 pburton  0.51 (2018/10)
176 jnyveen  0.49 (2018/10)
177 khomar  0.47 (2018/10)
178 miadonis  0.47 (2018/10)
179 dpreciad  0.44 (2018/10)
180 jproleik  0.44 (2018/10)
181 whood  0.42 (2018/10)
182 atilahun  0.41 (2018/10)
183 wsun  0.40 (2018/10)
184 ykuanysh  0.38 (2018/10)
185 hkazimi  0.35 (2018/10)
186 ehuddas  0.26 (2018/10)
187 jhamada  0.26 (2018/10)
188 kachenna  0.26 (2018/10)
189 keperez  0.26 (2018/10)
190 mnovilla  0.26 (2018/10)
191 pgimzaus  0.26 (2018/10)
192 shaque  0.26 (2018/10)
193 smaletyc  0.26 (2018/10)
194 cdias-fl  0.23 (2018/10)
195 phwu  0.22 (2018/10)
196 tpugh  0.22 (2018/10)
197 vnazeri  0.22 (2018/10)
198 aakim  0.21 (2018/10)
199 ematevos  0.21 (2018/10)
200 jcollins  0.21 (2018/10)
201 sabeugre  0.21 (2018/10)
202 majames  0.18 (2018/10)
203 aliberal  0.12 (2018/10)
204 akantur  0.00 (2018/10)
205 aletsai  0.00 (2018/10)
206 almannil  0.00 (2018/10)
207 alrodrig  0.00 (2018/10)
208 alvyu  0.00 (2018/10)
209 aordonez  0.00 (2018/10)
210 athorne  0.00 (2018/10)
211 carrocha  0.00 (2018/10)
212 cnwachuk  0.00 (2018/10)
213 cratu  0.00 (2018/10)
214 csalazar  0.00 (2018/10)
215 dasmith  0.00 (2018/10)
216 dgarces  0.00 (2018/10)
217 dmota  0.00 (2018/10)
