1 skuntoji  9.38 (2018/6)
2 abhaviri  8.62 (2018/6)
3 cschreib  7.88 (2018/6)
4 mplaza  7.86 (2018/6)
5 ewolf  7.77 (2018/6)
6 jsteinbe  7.77 (2018/6)
7 wbao  7.76 (2018/6)
8 zrogers  7.66 (2018/6)
9 ikourkji  7.54 (2018/6)
10 dwidjaja  7.36 (2018/6)
11 hadolfss  6.96 (2018/6)
12 doyang  6.88 (2018/6)
13 kachan  6.80 (2018/6)
14 dlim  6.76 (2018/6)
15 lochen  6.73 (2018/6)
16 fnilsson  6.62 (2018/6)
17 tmercer  6.51 (2018/6)
18 ayadav  6.29 (2018/6)
19 jbeall  6.29 (2018/6)
20 jrey  6.19 (2018/6)
21 oaaron  6.13 (2018/6)
22 rhayat  6.12 (2018/6)
23 makwan  6.00 (2018/6)
24 jheo  5.99 (2018/6)
25 nokiddy  5.96 (2018/6)
26 nmorales  5.81 (2018/6)
27 tazhang  5.53 (2018/7)
28 ybenkira  5.47 (2018/6)
29 pmigeon  5.39 (2018/6)
30 prishah  5.39 (2018/6)
31 bsaadat  5.35 (2018/6)
32 sosong  5.34 (2018/6)
33 ihuang  5.32 (2018/6)
34 vagushev  5.30 (2018/6)
35 ghdesfos  5.28 (2018/6)
36 sahan  5.20 (2018/6)
37 jahong  5.14 (2018/6)
38 wchan  5.13 (2018/6)
39 jcrisp  5.08 (2018/6)
40 pmuncrie  5.05 (2018/6)
41 chapark  4.98 (2018/6)
42 vkirakos  4.97 (2018/6)
43 eukim  4.95 (2018/6)
44 jiali  4.87 (2018/6)
45 argonthi  4.73 (2018/6)
46 gchen  4.72 (2018/6)
47 ksriniva  4.63 (2018/6)
48 kaanggas  4.51 (2018/6)
49 amelikia  4.50 (2018/6)
50 chatran  4.49 (2018/6)
51 brtucker  4.45 (2018/6)
52 chrsilva  4.44 (2018/6)
53 pdoherty  4.42 (2018/6)
54 camirafl  4.40 (2018/6)
55 jasensio  4.28 (2018/6)
56 zli  4.28 (2018/6)
57 imgutier  4.24 (2018/6)
58 mpandey  4.24 (2018/6)
59 sikim  4.24 (2018/6)
60 yawang  4.22 (2018/6)
61 bvon-mer  4.11 (2018/6)
62 andnguye  4.10 (2018/6)
63 bsingh  4.03 (2018/6)
64 gsong  4.02 (2018/6)
65 chpark  3.89 (2018/6)
